Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW1,SW_Push,SW_PUSH_6mm_H4.3mm,276.410375,-193.863625,-90.0,top
SW10,SW_Push_45deg,Kailh_socket_MX_no_fsilk,216.995375,-284.310575,0.0,top
SW11,SW_Push_45deg,Kailh_socket_MX_no_fsilk,102.695375,-303.360575,0.0,top
SW12,SW_Push_45deg,Kailh_socket_MX_no_fsilk,236.045375,-303.360575,0.0,top
SW13,SW_Push_45deg,Kailh_socket_MX_no_fsilk,121.745375,-227.160575,0.0,top
SW14,SW_Push_45deg,Kailh_socket_MX_no_fsilk,236.045375,-227.160575,0.0,top
SW15,SW_Push_45deg,Kailh_socket_MX_no_fsilk,121.745375,-246.210575,0.0,top
SW16,SW_Push_45deg,Kailh_socket_MX_no_fsilk,236.045375,-246.210575,0.0,top
SW17,SW_Push_45deg,Kailh_socket_MX_no_fsilk,131.270375,-265.260575,0.0,top
SW18,SW_Push_45deg,Kailh_socket_MX_no_fsilk,245.570375,-265.260575,0.0,top
SW19,SW_Push_45deg,Kailh_socket_MX_no_fsilk,121.745375,-284.310575,0.0,top
SW2,SW_Push,SW_PUSH_6mm_H4.3mm,276.400375,-204.073625,-90.0,top
SW20,SW_Push_45deg,Kailh_socket_MX_no_fsilk,236.045375,-284.310575,0.0,top
SW21,SW_Push_45deg,Kailh_socket_MX_no_fsilk,121.745375,-303.360575,0.0,top
SW22,SW_Push_45deg,Kailh_socket_MX_no_fsilk,255.095375,-303.360575,0.0,top
SW23,SW_Push_45deg,Kailh_socket_MX_no_fsilk,140.795375,-227.160575,0.0,top
SW24,SW_Push_45deg,Kailh_socket_MX_no_fsilk,255.095375,-227.160575,0.0,top
SW25,SW_Push_45deg,Kailh_socket_MX_no_fsilk,140.795375,-246.210575,0.0,top
SW26,SW_Push_45deg,Kailh_socket_MX_no_fsilk,255.095375,-246.210575,0.0,top
SW27,SW_Push_45deg,Kailh_socket_MX_no_fsilk,150.320375,-265.260575,0.0,top
SW28,SW_Push_45deg,Kailh_socket_MX_no_fsilk,264.620375,-265.260575,0.0,top
SW29,SW_Push_45deg,Kailh_socket_MX_no_fsilk,140.795375,-284.310575,0.0,top
SW3,SW_Push_45deg,Kailh_socket_MX_no_fsilk,102.695375,-227.160575,0.0,top
SW30,SW_Push_45deg,Kailh_socket_MX_no_fsilk,255.095375,-284.310575,0.0,top
SW31,SW_Push_45deg,Kailh_socket_MX_no_fsilk,140.795375,-303.360575,0.0,top
SW32,SW_Push_45deg,Kailh_socket_MX_no_fsilk,274.145375,-303.360575,0.0,top
SW33,SW_Push_45deg,Kailh_socket_MX_no_fsilk,159.845375,-227.160575,0.0,top
SW34,SW_Push_45deg,Kailh_socket_MX_no_fsilk,274.145375,-227.160575,0.0,top
SW35,SW_Push_45deg,Kailh_socket_MX_no_fsilk,159.845375,-246.210575,0.0,top
